state_id,eavs_unit_name,eavs_unit_code,name
55,TOWN OF BARRONETT - WASHBURN COUNTY,5504950000,Town Of Barronett (Washburn)
55,TOWN OF BARTELME - SHAWANO COUNTY,5505000000,Town Of Bartelme (Shawano)
55,TOWN OF BARTON - WASHINGTON COUNTY,5505050000,Town Of Barton (Washington)
55,TOWN OF BASHAW - WASHBURN COUNTY,5505125000,Town Of Bashaw (Washburn)
55,TOWN OF BASS LAKE - SAWYER COUNTY,5505200000,Town Of Bass Lake (Sawyer)
55,TOWN OF BASS LAKE - WASHBURN COUNTY,5505225000,Town Of Bass Lake (Washburn)
55,VILLAGE OF BAY CITY - PIERCE COUNTY,5505325000,Village Of Bay City (Pierce)
55,CITY OF BAYFIELD - BAYFIELD COUNTY,5505350000,City Of Bayfield (Bayfield)
55,TOWN OF BAYFIELD - BAYFIELD COUNTY,5505375000,Town Of Bayfield (Bayfield)
55,VILLAGE OF BAYSIDE - MULTIPLE COUNTIES,5505450000,Village Of Bayside (Multiple Counties)
55,TOWN OF BAYVIEW - BAYFIELD COUNTY,5505475000,Town Of Bayview (Bayfield)
55,TOWN OF BEAR BLUFF - JACKSON COUNTY,5505550000,Town Of Bear Bluff (Jackson)
55,VILLAGE OF BEAR CREEK - OUTAGAMIE COUNTY,5505575000,Village Of Bear Creek (Outagamie)
55,TOWN OF BEAR CREEK - SAUK COUNTY,5505600000,Town Of Bear Creek (Sauk)
55,TOWN OF BEAR CREEK - WAUPACA COUNTY,5505625000,Town Of Bear Creek (Waupaca)
55,TOWN OF BEAR LAKE - BARRON COUNTY,5505650000,Town Of Bear Lake (Barron)
55,TOWN OF BEAVER - CLARK COUNTY,5505750000,Town Of Beaver (Clark)
55,TOWN OF BEAVER - MARINETTE COUNTY,5505800000,Town Of Beaver (Marinette)
55,TOWN OF BEAVER - POLK COUNTY,5505825000,Town Of Beaver (Polk)
55,TOWN OF BEAVER BROOK - WASHBURN COUNTY,5505875000,Town Of Beaver Brook (Washburn)
55,CITY OF BEAVER DAM - DODGE COUNTY,5505900000,City Of Beaver Dam (Dodge)
55,TOWN OF BEAVER DAM - DODGE COUNTY,5505925000,Town Of Beaver Dam (Dodge)
55,TOWN OF BEECHER - MARINETTE COUNTY,5506000000,Town Of Beecher (Marinette)
55,TOWN OF BEETOWN - GRANT COUNTY,5506100000,Town Of Beetown (Grant)
55,VILLAGE OF BELGIUM - OZAUKEE COUNTY,5506150000,Village Of Belgium (Ozaukee)
55,TOWN OF BELGIUM - OZAUKEE COUNTY,5506175000,Town Of Belgium (Ozaukee)
55,TOWN OF BELL - BAYFIELD COUNTY,5506200000,Town Of Bell (Bayfield)
55,VILLAGE OF BELL CENTER - CRAWFORD COUNTY,5506225000,Village Of Bell Center (Crawford)
55,TOWN OF BELLE PLAINE - SHAWANO COUNTY,5506275000,Town Of Belle Plaine (Shawano)
55,VILLAGE OF BELLEVILLE - MULTIPLE COUNTIES,5506300000,Village Of Belleville (Multiple Counties)
55,VILLAGE OF BELLEVUE - BROWN COUNTY,5506350000,Village Of Bellevue (Brown)
55,VILLAGE OF BELMONT - LAFAYETTE COUNTY,5506425000,Village Of Belmont (Lafayette)
55,TOWN OF BELMONT - LAFAYETTE COUNTY,5506450000,Town Of Belmont (Lafayette)
55,TOWN OF BELMONT - PORTAGE COUNTY,5506475000,Town Of Belmont (Portage)
55,CITY OF BELOIT - ROCK COUNTY,5506500000,City Of Beloit (Rock)
55,TOWN OF BELOIT - ROCK COUNTY,5506525000,Town Of Beloit (Rock)
55,TOWN OF BELVIDERE - BUFFALO COUNTY,5506675000,Town Of Belvidere (Buffalo)
55,TOWN OF BENNETT - DOUGLAS COUNTY,5506775000,Town Of Bennett (Douglas)
55,VILLAGE OF BENTON - LAFAYETTE COUNTY,5506825000,Village Of Benton (Lafayette)
55,TOWN OF BENTON - LAFAYETTE COUNTY,5506850000,Town Of Benton (Lafayette)
55,TOWN OF BERGEN - MARATHON COUNTY,5506875000,Town Of Bergen (Marathon)
55,TOWN OF BERGEN - VERNON COUNTY,5506900000,Town Of Bergen (Vernon)
55,CITY OF BERLIN - MULTIPLE COUNTIES,5506925000,City Of Berlin (Multiple Counties)
55,TOWN OF BERLIN - GREEN LAKE COUNTY,5506950000,Town Of Berlin (Green Lake)
55,TOWN OF BERLIN - MARATHON COUNTY,5506975000,Town Of Berlin (Marathon)
55,TOWN OF BERN - MARATHON COUNTY,5507000000,Town Of Bern (Marathon)
55,TOWN OF BERRY - DANE COUNTY,5507025000,Town Of Berry (Dane)
55,TOWN OF BEVENT - MARATHON COUNTY,5507125000,Town Of Bevent (Marathon)
55,TOWN OF BIG BEND - RUSK COUNTY,5507175000,Town Of Big Bend (Rusk)
55,VILLAGE OF BIG BEND - WAUKESHA COUNTY,5507200000,Village Of Big Bend (Waukesha)
55,TOWN OF BIG FALLS - RUSK COUNTY,5507225000,Town Of Big Falls (Rusk)
55,VILLAGE OF BIG FALLS - WAUPACA COUNTY,5507250000,Village Of Big Falls (Waupaca)
55,TOWN OF BIG FLATS - ADAMS COUNTY,5507300000,Town Of Big Flats (Adams)
55,TOWN OF BIRCH - LINCOLN COUNTY,5507500000,Town Of Birch (Lincoln)
55,TOWN OF BIRCH CREEK - CHIPPEWA COUNTY,5507525000,Town Of Birch Creek (Chippewa)
55,VILLAGE OF BIRCHWOOD - WASHBURN COUNTY,5507550000,Village Of Birchwood (Washburn)
55,TOWN OF BIRCHWOOD - WASHBURN COUNTY,5507575000,Town Of Birchwood (Washburn)
55,VILLAGE OF BIRNAMWOOD - MULTIPLE COUNTIES,5507600000,Village Of Birnamwood (Multiple Counties)
55,TOWN OF BIRNAMWOOD - SHAWANO COUNTY,5507625000,Town Of Birnamwood (Shawano)
55,VILLAGE OF BIRON - WOOD COUNTY,5507650000,Village Of Biron (Wood)
55,TOWN OF BLACK BROOK - POLK COUNTY,5507700000,Town Of Black Brook (Polk)
55,VILLAGE OF BLACK CREEK - OUTAGAMIE COUNTY,5507725000,Village Of Black Creek (Outagamie)
55,TOWN OF BLACK CREEK - OUTAGAMIE COUNTY,5507750000,Town Of Black Creek (Outagamie)
55,VILLAGE OF BLACK EARTH - DANE COUNTY,5507800000,Village Of Black Earth (Dane)
55,TOWN OF BLACK EARTH - DANE COUNTY,5507825000,Town Of Black Earth (Dane)
55,CITY OF BLACK RIVER FALLS - JACKSON COUNTY,5507900000,City Of Black River Falls (Jackson)
55,TOWN OF BLACKWELL - FOREST COUNTY,5507950000,Town Of Blackwell (Forest)
55,TOWN OF BLACK WOLF - WINNEBAGO COUNTY,5508000000,Town Of Black Wolf (Winnebago)
55,TOWN OF BLAINE - BURNETT COUNTY,5508025000,Town Of Blaine (Burnett)
55,CITY OF BLAIR - TREMPEALEAU COUNTY,5508075000,City Of Blair (Trempealeau)
55,TOWN OF BLANCHARD - LAFAYETTE COUNTY,5508100000,Town Of Blanchard (Lafayette)
55,VILLAGE OF BLANCHARDVILLE - MULTIPLE COUNTIES,5508125000,Village Of Blanchardville (Multiple Counties)
55,TOWN OF BLOOM - RICHLAND COUNTY,5508175000,Town Of Bloom (Richland)
55,CITY OF BLOOMER - CHIPPEWA COUNTY,5508225000,City Of Bloomer (Chippewa)
55,TOWN OF BLOOMER - CHIPPEWA COUNTY,5508250000,Town Of Bloomer (Chippewa)
55,VILLAGE OF BLOOMFIELD - WALWORTH COUNTY,5508265000,Village Of Bloomfield (Walworth)
55,TOWN OF BLOOMFIELD - WALWORTH COUNTY,5508275000,Town Of Bloomfield (Walworth)
