state_id,region_id,year,device_model_id,quantity
18,1810900000,2024,97.0,106
18,1811300000,2024,97.0,80
18,1811500000,2024,53,3
18,1811700000,2024,97.0,66
18,1811900000,2024,97.0,41
18,1812100000,2024,97.0,36
18,1812300000,2024,97.0,55
18,1812500000,2024,97.0,47
18,1813100000,2024,97.0,40
18,1813300000,2024,97.0,94
18,1813500000,2024,97.0,46
18,1813900000,2024,97.0,60
18,1814300000,2024,97.0,65
18,1814500000,2024,97.0,81
18,1814700000,2024,97.0,60
18,1814900000,2024,97.0,46
18,1815100000,2024,97.0,80
18,1815300000,2024,97.0,55
18,1815700000,2024,97.0,275
18,1815900000,2024,97.0,34
18,1816500000,2024,97.0,50
18,1816900000,2024,97.0,64
18,1817300000,2024,97.0,200
18,1817900000,2024,97.0,72
18,1818100000,2024,97.0,48
18,1818300000,2024,97.0,102
32,3200100000,2024,21,63
32,3200300000,2024,21,3197
32,3200500000,2024,21,132
32,3200700000,2024,21,64
32,3201300000,2024,21,36
32,3201700000,2024,21,21
32,3201900000,2024,21,134
32,3202300000,2024,21,26
32,3202700000,2024,21,20
32,3202900000,2024,21,22
32,3203100000,2024,21,1320
39,3900100000,2024,21,78
39,3901700000,2024,21,1146
39,3904500000,2024,21,513
39,3904700000,2024,99.0,21
39,3905300000,2024,7,12
39,3905300000,2024,4,6
39,3905700000,2024,21,618
39,3906300000,2024,21,263
39,3906500000,2024,21,111
39,3912700000,2024,21,147
39,3913900000,2024,21,442
39,3914500000,2024,21,259
39,3915100000,2024,21,1426
39,3916900000,2024,21,376
39,3917300000,2024,21,447
47,4700300000,2024,61,63
47,4701100000,2024,61,126
47,4701500000,2024,61,26
47,4701900000,2024,61,79
47,4702700000,2024,61,17
47,4702900000,2024,61,54
47,4703500000,2024,61,72
47,4704100000,2024,61,27
47,4704500000,2024,61,65
47,4704700000,2024,61,63
47,4704900000,2024,61,45
47,4705100000,2024,61,56
47,4705300000,2024,61,74
47,4705500000,2024,61,48
47,4706100000,2024,61,28
47,4706300000,2024,61,84
47,4707300000,2024,61,73
47,4707900000,2024,61,55
47,4708700000,2024,61,30
47,4708900000,2024,61,65
47,4709100000,2024,61,32
47,4709700000,2024,61,56
47,4709900000,2024,61,75
47,4711100000,2024,61,36
47,4711700000,2024,61,46
47,4712100000,2024,61,19
47,4712500000,2024,61,201
47,4713300000,2024,61,40
47,4713500000,2024,61,22
47,4714100000,2024,61,85
47,4714700000,2024,61,70
47,4714900000,2024,61,360
47,4715100000,2024,61,40
47,4715300000,2024,61,22
47,4715900000,2024,61,28
47,4716500000,2024,61,248
47,4716700000,2024,61,43
47,4716900000,2024,61,16
47,4717100000,2024,61,27
47,4717300000,2024,61,34
47,4717500000,2024,61,17
47,4717700000,2024,61,57
47,4717900000,2024,61,174
47,4718100000,2024,61,32
49,4901700000,2024,66,2
49,4903500000,2024,21,665
2,0200000000,2024,18,275
4,0400100000,2024,27,49
4,0400300000,2024,27,150
4,0400700000,2024,27,19
4,0400900000,2024,27,11
4,0401100000,2024,27,18
4,0401200000,2024,27,22
4,0401300000,2024,19,224
4,0401500000,2024,27,57
4,0401700000,2024,27,96
4,0401900000,2024,27,289
4,0402100000,2024,27,99
4,0402300000,2024,27,18
4,0402500000,2024,82,47
4,0402700000,2024,27,82
5,0500100000,2024,27,36
5,0500300000,2024,27,44
5,0500500000,2024,27,82
5,0500700000,2024,27,479
5,0500900000,2024,27,81
