STATE_FIPS,COUNTY_FIPS,CenterX,CenterY
48,327,-99.8205875610472,30.889817659054867
48,189,-101.82688999983513,34.07040163570518
48,011,-101.35741759976243,34.964853789755416
13,189,-82.48131167865994,33.482775975679644
40,001,-94.65870530210171,35.88369947423248
48,057,-96.61520042498847,28.438991795474855
48,077,-98.20845443467235,33.78523109358117
40,135,-94.75508949709997,35.49540590675865
36,101,-77.38367535440923,42.26755341953987
26,109,-87.50965952741979,45.5242839645309
18,073,-87.11619606655525,41.02274207083017
13,025,-81.982005645797,31.196892214859936
13,171,-84.13946081161875,33.0765117747899
18,151,-85.00077066589155,41.643854067313136
48,361,-93.89387534509693,30.12131308635751
48,177,-97.49278768000536,29.4566730926344
26,007,-83.16518796964777,45.0315714075296
48,147,-96.10697004893689,33.593727376073026
48,265,-99.34988443073617,30.06163315123171
26,035,-84.84786483720339,43.987796492277496
40,017,-97.98236341345961,35.54246100967301
13,115,-85.21438736207762,34.26308807775999
26,103,-87.57332532990706,46.66106782391117
26,089,-86.03878199372959,45.15110603484943
48,391,-97.15972775800302,28.321613582273425
13,273,-84.43689519613665,31.776850052381594
13,063,-84.35766896680776,33.541861773002445
18,115,-84.96506889895946,38.95011418029188
13,073,-82.26407639500528,33.54409872196958
18,123,-86.6380383590584,38.07953944393397
48,247,-98.69729072281294,27.043323614425272
13,193,-84.04252652320378,32.35836934384393
18,007,-87.31090947316868,40.6062417104887
18,069,-85.48817658499462,40.82912239335558
18,169,-85.79399715803854,40.845539004046266
18,003,-85.06658666028764,41.0908155083692
18,099,-86.2617666509836,41.32478952250305
48,127,-99.75673270078578,28.422611637848128
13,049,-82.137647877835,30.781470917270543
13,233,-85.18818093273606,34.00182907688257
48,353,-100.40606213837866,32.30343103204834
36,091,-73.86371612352112,43.107097681755086
48,041,-96.30232357700106,30.660658799505683
40,095,-96.76912062711995,34.02447735330863
36,003,-78.02753474029925,42.25712720122097
18,117,-86.49507461888477,38.5417364296554
13,089,-84.22638161672536,33.77151018873439
13,227,-84.46561431905036,34.46434751518373
18,111,-87.39754785128981,40.955625707770764
13,119,-83.22910042456206,34.37538290772352
13,265,-82.87877267835246,33.56608297449058
48,245,-94.15335388973926,29.853624466714184
48,027,-97.4787650102316,31.037385212523596
36,075,-76.20869123138769,43.463790234278946
48,019,-99.24613482668661,29.747367898744738
26,153,-86.17726756359791,46.0413349156977
36,111,-74.25838522685066,41.88792978302187
26,003,-86.57217418214637,46.94573185455584
48,215,-98.18102172802807,26.39661267196468
26,123,-85.80092394734402,43.55385714503973
13,045,-85.07982821169581,33.5827805234409
48,413,-100.53856235182836,30.89761584388451
18,173,-87.27214663961566,38.092136529630004
48,181,-96.67763886605451,33.62673636192128
13,075,-83.43045012655462,31.153959093092237
40,059,-99.66734270450398,36.78880254531171
48,107,-101.2999658468588,33.61455931957191
40,003,-98.32397597735333,36.73076058678432
48,119,-95.67232457940753,33.38634183816737
48,507,-99.76060110210342,28.866271639271034
13,279,-82.33129474976482,32.12164094785749
26,151,-82.6458707890297,43.44319899943002
48,397,-96.40789103047652,32.89785132629935
26,163,-83.26134365746965,42.284680992399416
48,133,-98.83246698736109,32.32708564122943
48,123,-97.35697769524941,29.082109837942326
