County,Kamala D. Harris Tim Walz,Kamala D. Harris Tim Walz.1,Donald J. Trump JD Vance,Donald J. Trump JD Vance.1,Jill Stein,Claudia De la Cruz,Chase Oliver,Cornel West,Peter Sonski,Shiva Ayyadurai,Chris Garrity,Raymond Anthony Scollin,Andrew O'Donnell,Future Madam Potus,Garry Hubbard,Andre Ramon McNeil Sr,Scattering,Blank,Void,Total Votes,Democratic,Republican
Oneida,37080,2335,55580,5107,33.0,23.0,66.0,13.0,10.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,680.0,589.0,101527.0,39415.0,60687.0
Onondaga,125462,7693,82893,11023,780.0,112.0,240.0,93.0,71.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1700.0,1626.0,231707.0,133155.0,93916.0
Ontario,27932,1588,26679,3542,101.0,42.0,72.0,5.0,18.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,447.0,380.0,60814.0,29520.0,30221.0
Orange,76403,3850,87189,7747,299.0,27.0,81.0,35.0,20.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1805.0,1041.0,178506.0,80253.0,94936.0
Orleans,5088,278,11414,1245,13.0,0.0,21.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,66.0,18301.0,5366.0,12659.0
Oswego,19344,1139,30517,3031,61.0,12.0,38.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,288.0,54712.0,20483.0,33548.0
Otsego,12159,872,13612,1644,83.0,10.0,27.0,13.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,173.0,28783.0,13031.0,15256.0
Putnam,22839,1117,28858,2695,172.0,22.0,40.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,270.0,56421.0,23956.0,31553.0
Queens,409759,27523,248220,16408,8546.0,819.0,251.0,556.0,85.0,12.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,5973.0,3773.0,721937.0,437282.0,264628.0
Rensselaer ,36420,3248,33175,5426,251.0,64.0,90.0,30.0,26.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,582.0,434.0,79752.0,39668.0,38601.0
Richmond,66010,3335,120037,8114,1874.0,97.0,68.0,55.0,26.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1026.0,938.0,201584.0,69345.0,128151.0
Rockland,63816,2064,77318,6225,511.0,40.0,48.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.0,861.0,152249.0,65880.0,83543.0
Saratoga,62823,3498,57120,6820,333.0,40.0,123.0,17.0,27.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1467.0,538.0,132817.0,66321.0,63940.0
Schenectady,37294,2439,27448,4527,321.0,27.0,70.0,22.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,461.0,73112.0,39733.0,31975.0
Schoharie,5141,406,9344,1079,44.0,8.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,90.0,16231.0,5547.0,10423.0
Schuyler,3470,266,5207,510,12.0,2.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,9579.0,3736.0,5717.0
Seneca,6226,384,7613,766,22.0,2.0,12.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,110.0,83.0,15227.0,6610.0,8379.0
St. Lawrence,17028,982,23655,2264,47.0,14.0,29.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,142.0,44549.0,18010.0,25919.0
